academia,andar,area,area_servico,banheiro,condominio,elevador,endereco,espaco_gourmet,id,iptu,piscina,playground,portaria_24_horas,quadra_de_esporte,quarto,salao_de_festa,sauna,spa,tipo,url,vaga,valor,varanda_gourmet
0,,65.0,0,1.0,,0,"Avenida B, 133 - Parque Residencial das Nações Indígenas, Cuiabá - MT",0,2648536792,,0,1.0,0,0,2.0,1.0,0,0,apartamentos,https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-com-churrasqueira-parque-residencial-das-nacoes-indigenas-cuiaba-mt-65m2-id-2648536792/,,200000.0,0
1.0,,87.0,0,2.0,588.0,1.0,"Rua Capitão Iporã, 140 - Pico do Amor, Cuiabá - MT",1.0,2613378097,,1.0,1.0,1.0,1.0,3.0,1.0,0,0,apartamentos,https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-piscina-pico-do-amor-cuiaba-mt-87m2-id-2613378097/,1.0,550000.0,1.0
0,,43.0,0,1.0,270.0,0,"Vista Alegre, Cuiabá - MT",0,2654080758,,1.0,0,0,0,2.0,0,0,0,apartamentos,https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-com-piscina-vista-alegre-cuiaba-mt-43m2-id-2654080758/,1.0,190000.0,0
0,,41.0,0,1.0,330.0,0,"Avenida Fernando Correa da Costa, 10 - Parque Ohara, Cuiabá - MT",0,2656626862,500.0,1.0,0,1.0,1.0,2.0,1.0,0,0,apartamentos,https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-com-piscina-parque-ohara-cuiaba-mt-41m2-id-2656626862/,1.0,240000.0,0
0,5.0,84.0,0,2.0,632.0,1.0,"Rua Guilherme Victorino - Alvorada, Cuiabá - MT",0,2595871165,618.0,0,1.0,1.0,0,3.0,0,0,0,apartamentos,https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-playground-alvorada-cuiaba-mt-84m2-id-2595871165/,1.0,265000.0,0
,,98.0,,3.0,800.0,,"Santa Rosa, Cuiabá - MT",,2655849083,,,,,,3.0,,,,apartamentos,https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-churrasqueira-santa-rosa-cuiaba-mt-98m2-id-2655849083/,2.0,1200000.0,
1.0,,66.0,1.0,1.0,300.0,1.0,"Avenida Miguel Sutil, 666 - Jardim das Américas, Cuiabá - MT",1.0,2653003367,,1.0,1.0,0,0,3.0,1.0,0,0,apartamentos,https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-piscina-jardim-das-americas-cuiaba-mt-66m2-id-2653003367/,1.0,540000.0,1.0
0,,47.0,0,1.0,,0,"Avenida Itaparica, 33 - Coophema, Cuiabá - MT",0,2645852474,,1.0,0,0,0,2.0,0,0,0,apartamentos,https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-com-piscina-coophema-cuiaba-mt-47m2-id-2645852474/,1.0,255000.0,1.0
1.0,14.0,90.0,0,2.0,420.0,1.0,"Avenida Archimedes Pereira Lima, 688 - Jardim das Américas, Cuiabá - MT",1.0,2613469123,1600.0,1.0,1.0,1.0,1.0,2.0,1.0,0,0,apartamentos,https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-com-piscina-jardim-das-americas-cuiaba-mt-90m2-id-2613469123/,1.0,570000.0,0
0,,72.0,0,1.0,470.0,0,"Avenida Miguel Sutil, 6322 - Santa Marta, Cuiabá - MT",0,2648496158,1300.0,1.0,0,0,0,3.0,1.0,0,0,apartamentos,https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-mobiliado-santa-marta-cuiaba-mt-72m2-id-2648496158/,2.0,600000.0,0
