"academia","andar","area","area_servico","banheiro","condominio","elevador","espaco_gourmet","id","iptu","piscina","playground","portaria_24_horas","quadra_de_esporte","quarto","salao_de_festa","sauna","spa","vaga","valor","varanda_gourmet","endereco","tipo","url","latitude","longitude"
0,NA,60,0,1,530,0,1,2618540803,NA,1,1,0,0,2,1,0,0,1,3e+05,0,"Rua Vitorino Orthiges Fernandes, 5930 - Uruguai, Teresina - PI","apartamentos","https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-com-piscina-uruguai-teresina-pi-60m2-id-2618540803/",-5.070140014901,-42.748540026484
0,NA,196,1,1,NA,0,1,2553584957,NA,1,1,0,1,4,0,0,0,2,1e+06,0,"Rua Desembargador César do Rêgo Monteiro, 600 - Ininga, Teresina - PI","apartamentos","https://www.zapimoveis.com.br/imovel/venda-apartamento-4-quartos-com-piscina-ininga-teresina-pi-196m2-id-2553584957/",-5.051891350523,-42.791715604237
1,9,70,0,2,328,1,1,2646132558,1200,1,1,1,0,3,1,0,0,2,4e+05,0,"Avenida João XXIII, 3820 - São Cristóvão, Teresina - PI","apartamentos","https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-piscina-sao-cristovao-teresina-pi-70m2-id-2646132558/",-5.081146010679,-42.774117966588
NA,11,59,NA,2,300,NA,NA,2654036758,1050,NA,NA,NA,NA,3,NA,NA,NA,2,415000,NA,"Avenida João XXIII, 3830 - Recanto das Palmeiras, Teresina - PI","apartamentos","https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-recanto-das-palmeiras-teresina-pi-59m2-id-2654036758/",-5.081354847171,-42.763468775714
NA,2,42,NA,1,180,NA,NA,2580005033,10,NA,NA,NA,NA,2,NA,NA,NA,1,145000,NA,"Rua Rianópolis, 5136 - Campestre, Teresina - PI","apartamentos","https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-campestre-teresina-pi-42m2-id-2580005033/",-5.066046568412,-42.753625221154
0,NA,83,0,2,NA,1,0,2648928367,NA,1,0,0,0,3,0,0,0,2,250000,0,"Três Andares, Teresina - PI","apartamentos","https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-piscina-tres-andares-teresina-pi-83m2-id-2648928367/",-5.11294,-42.78454
0,NA,72,0,2,450,0,1,2634889654,1,1,1,0,0,3,1,0,0,2,440000,0,"Rua Professora Amália Pinheiro, 456 - Morros, Teresina - PI","apartamentos","https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-piscina-morros-teresina-pi-72m2-id-2634889654/",-5.035935128809,-42.764406504081
1,9,70,0,2,400,1,0,2638726989,NA,1,1,1,0,3,1,0,0,2,460000,1,"Rua Desembargador Adalberto Correia Lima, 01 - Ininga, Teresina - PI","apartamentos","https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-piscina-ininga-teresina-pi-70m2-id-2638726989/",-5.054052780764,-42.796307421517
1,1,192,0,1,1,1,1,2626969279,1,1,0,1,1,3,1,0,0,2,330000,1,"Avenida Presidente Kennedy, 1673 - Piçarreira, Teresina - PI","apartamentos","https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-piscina-picarreira-teresina-pi-192m2-id-2626969279/",-5.065737222253,-42.770109472601
NA,1,60,NA,1,1,NA,NA,2637943727,1,NA,NA,NA,NA,3,NA,NA,NA,1,426000,NA,"Rua Professor Francisco César Araújo, 3833 - Morros, Teresina - PI","apartamentos","https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-morros-teresina-pi-60m2-id-2637943727/",-5.034209164872,-42.767819649956
0,4,61,1,2,350,0,0,2652659509,NA,0,0,0,0,3,0,0,0,1,190000,0,"Rua Raimundinho Veras, 1784 - Campestre, Teresina - PI","apartamentos","https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-churrasqueira-campestre-teresina-pi-61m2-id-2652659509/",-5.06834,-42.75382
0,4,67,0,2,270,0,0,2628302158,1,1,1,1,0,3,0,0,0,2,230000,0,"Rua São Leonardo, 25 - Uruguai, Teresina - PI","apartamentos","https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-piscina-uruguai-teresina-pi-67m2-id-2628302158/",-5.057198271515,-42.745262680604
0,3,84,1,2,200,0,0,2543057611,NA,0,0,0,0,2,0,0,0,1,210000,0,"Rua Poeta Mário Bento - São João, Teresina - PI","apartamentos","https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-com-varanda-sao-joao-teresina-pi-84m2-id-2543057611/",-5.084730105854,-42.770843179965
0,10,101,0,2,1,1,0,2648787362,1,0,0,0,0,3,1,0,0,1,280000,0,"Rua Manoel Domingues, 2605 - Centro, Teresina - PI","apartamentos","https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-mobiliado-centro-teresina-pi-101m2-id-2648787362/",-5.075180011371,-42.808160000857
