"academia","andar","area","area_servico","banheiro","condominio","elevador","endereco","espaco_gourmet","id","iptu","piscina","playground","portaria_24_horas","quadra_de_esporte","quarto","salao_de_festa","sauna","spa","tipo","url","vaga","valor","varanda_gourmet","latitude","longitude"
NA,NA,390,NA,2,NA,NA,"Rua Levindo Inácio de Oliveira, 2281 - Paraviana, Boa Vista - RR",NA,2644800895,NA,NA,NA,NA,NA,6,NA,NA,NA,"casas","https://www.zapimoveis.com.br/imovel/venda-casa-6-quartos-com-ar-condicionado-paraviana-boa-vista-rr-390m2-id-2644800895/",4,2350000,NA,2.865477224835,-60.672421803653
0,NA,600,1,5,NA,0,"Avenida Antonino Menezes da Silva - Caçari, Boa Vista - RR",0,2559326333,NA,0,0,0,0,5,0,0,0,"casas","https://www.zapimoveis.com.br/imovel/venda-casa-5-quartos-com-area-de-servico-cacari-boa-vista-rr-600m2-id-2559326333/",4,1900000,0,2.85329,-60.65048
NA,NA,240,NA,6,NA,NA,"Rua 06, 259 - Jardim Tropical, Boa Vista - RR",NA,2645337472,NA,NA,NA,NA,NA,6,NA,NA,NA,"apartamentos","https://www.zapimoveis.com.br/imovel/venda-apartamento-6-quartos-jardim-tropical-boa-vista-rr-240m2-id-2645337472/",NA,420000,NA,2.808711007127,-60.731781050847
0,NA,418,1,2,NA,0,"Avenida Getúlio Vargas - Centro, Boa Vista - RR",0,2624389563,NA,0,0,0,0,3,0,0,0,"casas","https://www.zapimoveis.com.br/imovel/venda-casa-3-quartos-com-cozinha-centro-boa-vista-rr-418m2-id-2624389563/",2,1e+06,0,2.822824997279,-60.666189990317
NA,NA,101,NA,1,NA,NA,"Avenida Sebastião Diniz - São Vicente, Boa Vista - RR",NA,2645615836,NA,NA,NA,NA,NA,2,NA,NA,NA,"casas","https://www.zapimoveis.com.br/imovel/venda-casa-2-quartos-sao-vicente-boa-vista-rr-101m2-id-2645615836/",NA,480000,NA,2.807231476115,-60.678082562095
NA,NA,167,NA,3,NA,NA,"Alameda Sebastião Ferreira da Costa - Paraviana, Boa Vista - RR",NA,2624390136,NA,NA,NA,NA,NA,3,NA,NA,NA,"casas","https://www.zapimoveis.com.br/imovel/venda-casa-3-quartos-paraviana-boa-vista-rr-167m2-id-2624390136/",NA,1095000,NA,2.864495623587,-60.658783542318
NA,NA,266,NA,2,NA,NA,"Rua Pau-Brasil - Paraviana, Boa Vista - RR",NA,2649353167,NA,NA,NA,NA,NA,3,NA,NA,NA,"casas","https://www.zapimoveis.com.br/imovel/venda-casa-3-quartos-com-cozinha-paraviana-boa-vista-rr-266m2-id-2649353167/",2,990000,NA,2.868035423836,-60.673925217504
NA,NA,190,NA,3,NA,NA,"Rua Iuguslávia, 591 - Cauamé, Boa Vista - RR",NA,2651159287,NA,NA,NA,NA,NA,2,NA,NA,NA,"casas","https://www.zapimoveis.com.br/imovel/venda-casa-2-quartos-cauame-boa-vista-rr-190m2-id-2651159287/",NA,550000,NA,2.848257101789,-60.710786368824
0,NA,147,1,3,NA,0,"Rua Dona Marina Carneiro, 324 - Cinturao Verde, Boa Vista - RR",0,2651157159,NA,0,0,0,0,1,0,0,0,"casas","https://www.zapimoveis.com.br/imovel/venda-casa-1-quarto-com-area-de-servico-cinturao-verde-boa-vista-rr-147m2-id-2651157159/",2,7e+05,0,2.803764708276,-60.702856069238
0,NA,173,1,3,NA,0,"Rua São Vicente, 204 - Cinturao Verde, Boa Vista - RR",0,2649678585,NA,0,0,0,0,3,0,0,0,"casas","https://www.zapimoveis.com.br/imovel/venda-casa-3-quartos-cinturao-verde-boa-vista-rr-173m2-id-2649678585/",2,650000,0,2.800120014139,-60.706589967341
