academia,andar,area,area_servico,banheiro,condominio,elevador,endereco,espaco_gourmet,foto_imovel,id,iptu,piscina,playground,portaria_24_horas,quadra_de_esporte,quarto,salao_de_festa,sauna,spa,tipo,url,vaga,valor,varanda_gourmet
0,10.0,116.0,1.0,3.0,860.0,1.0,"Rua Padre Landim, 312 - Madalena, Recife - PE",0,https://resizedimgs.zapimoveis.com.br/fit-in/400x180/named.images.sp/a4825eb7ff53ba22e1bf8c057874276c/apartamento-com-4-quartos-a-venda-116m-no-madalena-recife.jpg,2583192044,220.0,0,1.0,1.0,0,4.0,1.0,0,0,apartamentos,https://www.zapimoveis.com.br/imovel/venda-apartamento-4-quartos-com-area-de-lazer-madalena-recife-pe-116m2-id-2583192044/,2.0,589999.0,0
0,,47.0,0,2.0,1.0,1.0,"Rua Gonçalves Dias, 179 - Campo Grande, Recife - PE",0,https://resizedimgs.zapimoveis.com.br/fit-in/400x180/named.images.sp/11d4d3253e5e1a3ac17fcee391eac297/apartamento-com-2-quartos-a-venda-47m-no-campo-grande-recife.jpg,2653274289,1.0,1.0,1.0,1.0,0,2.0,1.0,0,0,apartamentos,https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-com-piscina-campo-grande-recife-pe-47m2-id-2653274289/,1.0,319900.0,0
1.0,7.0,41.0,0,1.0,1.0,1.0,"Avenida Conde da Boa Vista, 1 - Derby, Recife - PE",1.0,https://resizedimgs.zapimoveis.com.br/fit-in/400x180/named.images.sp/fb686b0ea70d95c5bd2efcee41c602bc/apartamento-com-2-quartos-a-venda-41m-no-derby-recife.jpg,2635731937,1.0,1.0,1.0,1.0,1.0,2.0,1.0,0,0,apartamentos,https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-mobiliado-derby-recife-pe-41m2-id-2635731937/,1.0,361400.0,1.0
0,,160.0,0,3.0,1114.0,1.0,"Rua Quarenta e Oito, 347 - Espinheiro, Recife - PE",0,https://resizedimgs.zapimoveis.com.br/fit-in/400x180/named.images.sp/29bd8c2a1edbb9ffb778885a5d9829bd/apartamento-com-3-quartos-a-venda-160m-no-espinheiro-recife.jpg,2584928903,1997.0,0,1.0,1.0,0,3.0,1.0,0,0,apartamentos,https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-elevador-espinheiro-recife-pe-160m2-id-2584928903/,2.0,800000.0,0
1.0,,153.0,0,1.0,,1.0,"Rua Regueira Costa, 152 - Rosarinho, Recife - PE",1.0,https://resizedimgs.zapimoveis.com.br/fit-in/400x180/named.images.sp/aa59501d694dfb5e7a39c6969cd611ef/apartamento-com-4-quartos-a-venda-153m-no-rosarinho-recife.jpg,2660144973,,1.0,0,1.0,1.0,4.0,1.0,0,0,apartamentos,https://www.zapimoveis.com.br/imovel/venda-apartamento-4-quartos-com-piscina-rosarinho-recife-pe-153m2-id-2660144973/,2.0,1091067.0,1.0
1.0,,57.0,0,2.0,450.0,1.0,"Rua Castro Alves, 300 - Encruzilhada, Recife - PE",0,https://resizedimgs.zapimoveis.com.br/fit-in/400x180/named.images.sp/efdeb750b2fccdc38889d6d0f7c76ff9/apartamento-com-3-quartos-a-venda-57m-no-encruzilhada-recife.jpg,2650863455,1258.0,1.0,1.0,0,0,3.0,1.0,0,0,apartamentos,https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-piscina-encruzilhada-recife-pe-57m2-id-2650863455/,1.0,377000.0,0
1.0,1.0,130.0,1.0,3.0,1.0,1.0,"Rua Professor Arnaldo Carneiro Leão, 1 - Boa Viagem, Recife - PE",1.0,https://resizedimgs.zapimoveis.com.br/fit-in/400x180/named.images.sp/7a1b0d40812029699588f99b6a867e48/apartamento-com-3-quartos-a-venda-130m-no-boa-viagem-recife.jpg,2603183201,1.0,1.0,1.0,1.0,1.0,3.0,1.0,0,0,apartamentos,https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-piscina-boa-viagem-recife-pe-130m2-id-2603183201/,2.0,1024304.0,1.0
1.0,3.0,76.0,1.0,3.0,940.0,1.0,"Rua da Angustura, 195 - Aflitos, Recife - PE",0,https://resizedimgs.zapimoveis.com.br/fit-in/400x180/named.images.sp/6fa6e9fcd50b6408ec0a165f2b787d48/apartamento-com-3-quartos-a-venda-76m-no-aflitos-recife.jpg,2641600062,140.0,1.0,1.0,1.0,1.0,3.0,1.0,0,0,apartamentos,https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-piscina-aflitos-recife-pe-76m2-id-2641600062/,1.0,505000.0,0
0,5.0,99.0,0,1.0,10.0,0,"Rua Dom José Lopes, 604 - Boa Viagem, Recife - PE",0,https://resizedimgs.zapimoveis.com.br/fit-in/400x180/named.images.sp/1e61d9ad6b967099d86b1b6e2fe0975f/apartamento-com-3-quartos-a-venda-99m-no-boa-viagem-recife.jpg,2636856447,10.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,0,apartamentos,https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-piscina-boa-viagem-recife-pe-99m2-id-2636856447/,2.0,750000.0,0
0,4.0,90.0,0,4.0,1058.0,1.0,"Rua Real da Torre, 1400 - Torre, Recife - PE",0,https://resizedimgs.zapimoveis.com.br/fit-in/400x180/named.images.sp/31a06d9ef0bb72b8b72e296505365f08/apartamento-com-3-quartos-a-venda-90m-no-torre-recife.jpg,2670846061,719.0,1.0,1.0,0,1.0,3.0,0,1.0,0,apartamentos,https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-piscina-torre-recife-pe-90m2-id-2670846061/,2.0,650000.0,0
