"academia","andar","area","area_servico","banheiro","condominio","elevador","espaco_gourmet","id","iptu","piscina","playground","portaria_24_horas","quadra_de_esporte","quarto","salao_de_festa","sauna","spa","vaga","valor","varanda_gourmet","endereco","tipo","url","foto_imovel","latitude","longitude"
NA,NA,260,NA,NA,NA,NA,NA,2653180017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,390000,NA,"Aviario, Rio Branco - AC","terrenos_e_lotes_comerciais","https://www.zapimoveis.com.br/imovel/venda-terreno-lote-comercial-aviario-rio-branco-ac-260m2-id-2653180017/","https://resizedimgs.zapimoveis.com.br/fit-in/400x180/named.images.sp/fb844113b5a5c6bd1cc68279504dc778/terreno-lote-comercial-a-venda-260m-no-aviario-rio-branco.jpg",-9.96607,-67.8051
NA,NA,330,NA,NA,NA,NA,NA,2628459191,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,170000,NA,"Rua Major Ladislau Ferreira - Abraao Alab, Rio Branco - AC","terrenos_e_lotes_comerciais","https://www.zapimoveis.com.br/imovel/venda-terreno-lote-comercial-abraao-alab-rio-branco-ac-330m2-id-2628459191/","https://resizedimgs.zapimoveis.com.br/fit-in/400x180/named.images.sp/901ed049741a54f76a66ce2a683cf07b/terreno-lote-comercial-a-venda-330m-no-abraao-alab-rio-branco.jpg",-9.971030000584,-67.822539982303
NA,NA,175,NA,1,NA,NA,NA,2665326493,NA,NA,NA,NA,NA,2,NA,NA,NA,2,190000,NA,"Avenida Tabatinga, 49 - Floresta Sul, Rio Branco - AC","casas","https://www.zapimoveis.com.br/imovel/venda-casa-2-quartos-floresta-sul-rio-branco-ac-175m2-id-2665326493/","https://resizedimgs.zapimoveis.com.br/fit-in/400x180/named.images.sp/f8b8249e3d45c9c1ab7ee6dba1fcc853/casa-com-2-quartos-a-venda-175m-no-floresta-sul-rio-branco.jpg",-9.993119979638,-67.83874261331
0,NA,97,1,1,NA,0,0,2661484863,NA,0,0,0,0,2,0,0,0,2,380000,0,"Nova Esperanca, Rio Branco - AC","casas","https://www.zapimoveis.com.br/imovel/venda-casa-2-quartos-com-area-de-servico-nova-esperanca-rio-branco-ac-97m2-id-2661484863/","https://resizedimgs.zapimoveis.com.br/fit-in/400x180/named.images.sp/85a2cdddcd346180d2a8cad737a492b3/casa-com-2-quartos-a-venda-97m-no-nova-esperanca-rio-branco.jpg",-9.97461,-67.84142
1,NA,616,0,4,NA,0,1,2656843842,NA,1,1,1,1,2,1,0,0,3,5e+06,1,"Rodovia BR-364, 3400 - Portal da Amazonia, Rio Branco - AC","casas_de_condominio","https://www.zapimoveis.com.br/imovel/venda-casa-de-condominio-2-quartos-mobiliado-portal-da-amazonia-rio-branco-ac-616m2-id-2656843842/","https://resizedimgs.zapimoveis.com.br/fit-in/400x180/named.images.sp/da031ebe52285e50fb5da0b03533b4e0/casa-de-condominio-com-2-quartos-a-venda-616m-no-portal-da-amazonia-rio-branco.jpg",-9.978729994026,-67.849295017239
NA,NA,203,NA,3,NA,NA,NA,2647395461,NA,NA,NA,NA,NA,2,NA,NA,NA,2,590000,NA,"Vila da Amizade, Rio Branco - AC","casas","https://www.zapimoveis.com.br/imovel/venda-casa-2-quartos-com-escritorio-vila-da-amizade-rio-branco-ac-203m2-id-2647395461/","https://resizedimgs.zapimoveis.com.br/fit-in/400x180/named.images.sp/c92b5f5e473160f5a9ef8cd8453ed572/casa-com-2-quartos-a-venda-203m-no-vila-da-amizade-rio-branco.jpg",-10.02991,-67.80128
0,NA,78,0,1,NA,0,1,2666637893,NA,1,1,1,0,3,1,0,0,2,417000,0,"Estrada da Floresta, 51 - Floresta Sul, Rio Branco - AC","casas_de_condominio","https://www.zapimoveis.com.br/imovel/venda-casa-de-condominio-3-quartos-com-piscina-floresta-sul-rio-branco-ac-78m2-id-2666637893/","https://resizedimgs.zapimoveis.com.br/fit-in/400x180/named.images.sp/fcd98f1ff86719bc38b1203067b8a0f7/casa-de-condominio-com-3-quartos-a-venda-78m-no-floresta-sul-rio-branco.jpg",-9.982091395221,-67.838490867537
0,NA,176,1,2,NA,0,0,2643147716,NA,0,0,0,0,2,0,0,0,1,340000,0,"Nova Estacao, Rio Branco - AC","casas","https://www.zapimoveis.com.br/imovel/venda-casa-2-quartos-com-churrasqueira-nova-estacao-rio-branco-ac-176m2-id-2643147716/","https://resizedimgs.zapimoveis.com.br/fit-in/400x180/named.images.sp/7503d00713f941736d1a5202edbb859b/casa-com-2-quartos-a-venda-176m-no-nova-estacao-rio-branco.jpg",-9.95424,-67.83117
0,NA,78,0,1,NA,0,1,2666444298,NA,1,1,1,0,3,1,0,0,2,431000,0,"Avenida Ceará, 10 - Floresta Sul, Rio Branco - AC","casas_de_condominio","https://www.zapimoveis.com.br/imovel/venda-casa-de-condominio-3-quartos-com-piscina-floresta-sul-rio-branco-ac-78m2-id-2666444298/","https://resizedimgs.zapimoveis.com.br/fit-in/400x180/named.images.sp/72be0b89d6374c58ebf8fb96be9c55c8/casa-de-condominio-com-3-quartos-a-venda-78m-no-floresta-sul-rio-branco.jpg",-9.972943513477,-67.797597009305
NA,NA,300,NA,4,NA,NA,NA,2636388171,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,420000,NA,"Conjunto Universitario, Rio Branco - AC","casas","https://www.zapimoveis.com.br/imovel/venda-casa-4-quartos-conjunto-universitario-rio-branco-ac-300m2-id-2636388171/","https://resizedimgs.zapimoveis.com.br/fit-in/400x180/named.images.sp/d08443398fcc3cadf3b01eb01fc3240e/casa-com-4-quartos-a-venda-300m-no-conjunto-universitario-rio-branco.jpg",-9.94636,-67.88182
