academia,andar,area,area_servico,banheiro,condominio,elevador,espaco_gourmet,id,iptu,piscina,playground,portaria_24_horas,quadra_de_esporte,quarto,salao_de_festa,sauna,spa,vaga,valor,varanda_gourmet,url,tipo,endereco,latitude,longitude
,2.0,110.0,,2.0,,,,2649174086,300.0,,,,,2.0,,,,1.0,310000.0,,https://www.zapimoveis.com.br/imovel/venda-casa-2-quartos-sao-jose-de-imbassai-marica-rj-110m2-id-2649174086/,casas,"Rua Gardênia - São José de Imbassai, Maricá - RJ",-22.929077827732,-42.883103929205
,,1.0,,,,,,2644946241,,,,,,,,,,,170000.0,,https://www.zapimoveis.com.br/imovel/venda-terreno-lote-condominio-morada-das-aguias-itaipuacu-marica-rj-1m2-id-2644946241/,terrenos_lotes_e_condominios,"Rua dos Topázios, 24 - Morada das Aguias Itaipuacu, Maricá - RJ",-22.950347310568,-42.993616873369
,,89.0,,2.0,200.0,,,2648292855,510.0,,,,,3.0,,,,1.0,350000.0,,https://www.zapimoveis.com.br/imovel/venda-cobertura-3-quartos-itaipuacu-marica-rj-89m2-id-2648292855/,coberturas,"Rua Nossa Senhora da Conceição - Itaipuaçú, Maricá - RJ",-22.96371007938,-42.98875596374
,,240.0,,,,,,2546412910,,,,,,,,,,,85000.0,,https://www.zapimoveis.com.br/imovel/venda-terreno-lote-condominio-spar-inoa-marica-rj-240m2-id-2546412910/,terrenos_lotes_e_condominios,"Avenida Luiz Genésio - Spar Inoa, Maricá - RJ",-22.898150327561,-42.934321925183
,,216.0,,,,,,2635978830,,,,,,,,,,,80000.0,,https://www.zapimoveis.com.br/imovel/venda-terreno-lote-condominio-caxito-marica-rj-216m2-id-2635978830/,terrenos_lotes_e_condominios,"Caxito, Maricá - RJ",-22.88492,-42.80931
,,371.0,,,402.0,,,2632270562,141.0,,,,,,,,,,123350.0,,https://www.zapimoveis.com.br/imovel/venda-terreno-lote-condominio-ubatiba-marica-rj-371m2-id-2632270562/,terrenos_lotes_e_condominios,"Rodovia Vereador Oldemar Guedes Figueiredo, 2560 - Ubatiba, Maricá - RJ",-22.901282246448,-42.800378448923
0.0,,300.0,1.0,3.0,,0.0,0.0,2578586578,600.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,350000.0,1.0,https://www.zapimoveis.com.br/imovel/venda-casa-2-quartos-com-area-de-servico-ponta-grossa-marica-rj-300m2-id-2578586578/,casas,"Rua Quatorze, 11 - Ponta Grossa, Maricá - RJ",-22.927696649823,-42.854226107071
,,480.0,,,,,,2627150425,12.0,,,,,,,,,,210000.0,,https://www.zapimoveis.com.br/imovel/venda-terreno-lote-condominio-jardim-atlantico-leste-itaipuacu-marica-rj-480m2-id-2627150425/,terrenos_lotes_e_condominios,"Rua Cento e Vinte e Seis, 100 - Jardim Atlantico Leste Itaipuacu, Maricá - RJ",-22.965405814253,-42.90565443544
,,562.0,,,,,,2633696212,110.0,,,,,,,,,,239000.0,,https://www.zapimoveis.com.br/imovel/venda-terreno-lote-condominio-recanto-de-itaipuacu-marica-rj-562m2-id-2633696212/,terrenos_lotes_e_condominios,"Rua Isaltina Filomena Soares, 1 - Recanto De Itaipuacu, Maricá - RJ",-22.965373939466,-43.008947838072
,,475.0,,,,,,2622744040,,,,,,,,,,,95000.0,,https://www.zapimoveis.com.br/imovel/venda-terreno-lote-condominio-cajueiro-marica-rj-475m2-id-2622744040/,terrenos_lotes_e_condominios,"Avenida Central, 1 - Cajueiro, Maricá - RJ",-22.939890954954,-42.930663624306
,,66.0,,2.0,1.0,,,2647295349,1.0,,,,,2.0,,,,2.0,399160.0,,https://www.zapimoveis.com.br/imovel/venda-casa-2-quartos-jardim-atlantico-oeste-marica-rj-66m2-id-2647295349/,casas,"Avenida Jardel Filho, 100 - Jardim Atlântico Oeste, Maricá - RJ",-22.959199404325,-42.974637978224
0.0,,119.0,0.0,2.0,,0.0,0.0,2577434482,,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,600000.0,0.0,https://www.zapimoveis.com.br/imovel/venda-casa-3-quartos-com-piscina-jardim-atlantico-oeste-marica-rj-119m2-id-2577434482/,casas,"Rua Doutor Franco Montoro, 22 - Jardim Atlântico Oeste, Maricá - RJ",-22.965990010633,-42.973840009875
0.0,,127.0,1.0,2.0,480.0,0.0,0.0,2647812108,100.0,1.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,2.0,600000.0,1.0,https://www.zapimoveis.com.br/imovel/venda-casa-de-condominio-3-quartos-com-piscina-sao-jose-de-imbassai-marica-rj-127m2-id-2647812108/,casas_de_condominio,"Rua João da Cunha Abreu, 190 - São José de Imbassai, Maricá - RJ",-22.930303069372,-42.890195238961
0.0,,180.0,1.0,2.0,,0.0,0.0,2643780321,500.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,8.0,380000.0,0.0,https://www.zapimoveis.com.br/imovel/venda-casa-2-quartos-com-ar-condicionado-jardim-atlantico-central-marica-rj-180m2-id-2643780321/,casas,"Rua Alice Maximino de Souza, 31 - Jardim Atlântico Central, Maricá - RJ",-22.9595,-42.95363
0.0,,115.0,1.0,3.0,,0.0,0.0,2572816295,,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,2.0,560000.0,0.0,https://www.zapimoveis.com.br/imovel/venda-casa-3-quartos-com-cozinha-barroco-marica-rj-115m2-id-2572816295/,casas,"Rua Vinte e Três - Barroco, Maricá - RJ",-22.953520001822,-42.986699986731
0.0,,485.0,0.0,,212.0,0.0,0.0,2511574628,,1.0,1.0,0.0,1.0,,0.0,0.0,0.0,,90000.0,0.0,https://www.zapimoveis.com.br/imovel/venda-terreno-lote-condominio-com-piscina-espraiado-marica-rj-485m2-id-2511574628/,terrenos_lotes_e_condominios,"Espraiado, Maricá - RJ",-22.90278,-42.72823
0.0,,400.0,1.0,5.0,1200.0,0.0,1.0,1042695322,410.0,1.0,1.0,0.0,1.0,5.0,0.0,0.0,0.0,2.0,1800000.0,0.0,https://www.zapimoveis.com.br/imovel/venda-casa-de-condominio-5-quartos-com-piscina-centro-marica-rj-400m2-id-1042695322/,casas_de_condominio,"Avenida Vereador Francisco Sabino da Costa, 100 - Centro, Maricá - RJ",-22.914260988794,-42.819621053752
,,90.0,,1.0,,,,2557223900,,,,,,2.0,,,,,360000.0,,https://www.zapimoveis.com.br/imovel/venda-casa-2-quartos-ponta-grossa-marica-rj-90m2-id-2557223900/,casas,"Rua Irineu Ferreira Pinto - Ponta Grossa, Maricá - RJ",-22.923919724515,-42.855545050282
,,360.0,,,,,,2643867907,,,,,,,,,,,150000.0,,https://www.zapimoveis.com.br/imovel/venda-terreno-lote-condominio-sao-jose-de-imbassai-marica-rj-360m2-id-2643867907/,terrenos_lotes_e_condominios,"Rodovia Ernani do Amaral Peixoto, 12 - São José de Imbassai, Maricá - RJ",-22.92769998914,-42.868039981866
0.0,,70.0,1.0,2.0,,0.0,0.0,2643783198,20.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,360000.0,0.0,https://www.zapimoveis.com.br/imovel/venda-casa-2-quartos-com-cozinha-jacone-marica-rj-70m2-id-2643783198/,casas,"Rua Sessenta e Três, 4 - Jaconé, Maricá - RJ",-22.937749995821,-42.652454959532
