"academia","andar","area","area_servico","banheiro","condominio","elevador","espaco_gourmet","id","iptu","piscina","playground","portaria_24_horas","quadra_de_esporte","quarto","salao_de_festa","sauna","spa","vaga","valor","varanda_gourmet","endereco","tipo","url","foto_imovel","latitude","longitude"
0,NA,250,1,2,NA,0,0,2668918635,NA,0,0,0,0,3,0,0,0,2,1700,0,"Portal da Amazonia, Rio Branco - AC","casas","https://www.zapimoveis.com.br/imovel/venda-casa-3-quartos-com-cozinha-portal-da-amazonia-rio-branco-ac-250m2-id-2668918635/","https://resizedimgs.zapimoveis.com.br/fit-in/400x180/named.images.sp/2a39fe8ad7693cd32b912c79a1b7fa44/casa-com-3-quartos-para-venda-ou-aluguel-250m-no-portal-da-amazonia-rio-branco.jpg",-9.97321,-67.86036
0,NA,180,1,2,NA,0,0,2668458161,NA,0,0,0,0,3,0,0,0,2,2800,0,"Conquista, Rio Branco - AC","casas","https://www.zapimoveis.com.br/imovel/venda-casa-3-quartos-mobiliado-conquista-rio-branco-ac-180m2-id-2668458161/","https://resizedimgs.zapimoveis.com.br/fit-in/400x180/named.images.sp/93193bb8ea62c6ce9bf230f685f54f03/casa-com-3-quartos-para-venda-ou-aluguel-180m-no-conquista-rio-branco.jpg",-9.95282,-67.83416
0,NA,207,1,1,NA,0,0,2665325309,NA,1,0,0,0,3,0,0,0,2,2800,1,"Jardim Tropical, Rio Branco - AC","casas","https://www.zapimoveis.com.br/imovel/aluguel-casa-3-quartos-com-piscina-jardim-tropical-rio-branco-ac-207m2-id-2665325309/","https://resizedimgs.zapimoveis.com.br/fit-in/400x180/named.images.sp/1d34d00cc04e411d5530429640a8e02c/casa-com-3-quartos-para-alugar-207m-no-jardim-tropical-rio-branco.jpg",-9.96032,-67.79508
NA,NA,121,NA,2,NA,NA,NA,2668456750,NA,NA,NA,NA,NA,3,NA,NA,NA,2,3850,NA,"Santa Quiteria, Rio Branco - AC","casas","https://www.zapimoveis.com.br/imovel/aluguel-casa-3-quartos-santa-quiteria-rio-branco-ac-121m2-id-2668456750/","https://resizedimgs.zapimoveis.com.br/fit-in/400x180/named.images.sp/853eb227a8358fafad301da512cce085/casa-com-3-quartos-para-alugar-121m-no-santa-quiteria-rio-branco.jpg",-9.95062,-67.82554
NA,NA,170,NA,1,NA,NA,NA,2663987414,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,1200,NA,"Nova Esperanca, Rio Branco - AC","casas","https://www.zapimoveis.com.br/imovel/aluguel-casa-2-quartos-com-quintal-nova-esperanca-rio-branco-ac-170m2-id-2663987414/","https://resizedimgs.zapimoveis.com.br/fit-in/400x180/named.images.sp/1bcd2f49f0d05dc9ed49b965d1b9e994/casa-com-2-quartos-para-alugar-170m-no-nova-esperanca-rio-branco.jpg",-9.97461,-67.84142
0,NA,250,1,1,NA,0,0,2666406099,NA,0,0,0,0,2,0,0,0,3,3000,0,"Conjunto Rui Lino, Rio Branco - AC","casas","https://www.zapimoveis.com.br/imovel/aluguel-casa-2-quartos-mobiliado-conjunto-rui-lino-rio-branco-ac-250m2-id-2666406099/","https://resizedimgs.zapimoveis.com.br/fit-in/400x180/named.images.sp/063e0cf231b0e285d139b8162a0e44b9/casa-com-2-quartos-para-alugar-250m-no-conjunto-rui-lino-rio-branco.jpg",-9.94951,-67.85387
NA,NA,300,NA,1,NA,NA,NA,2665972329,NA,NA,NA,NA,NA,2,NA,NA,NA,2,1300,NA,"Xavier Maia, Rio Branco - AC","casas","https://www.zapimoveis.com.br/imovel/aluguel-casa-2-quartos-xavier-maia-rio-branco-ac-300m2-id-2665972329/","https://resizedimgs.zapimoveis.com.br/fit-in/400x180/named.images.sp/f9566defa49e7466eca621c5ad8f0fd3/casa-com-2-quartos-para-alugar-300m-no-xavier-maia-rio-branco.jpg",-9.92942,-67.82026
0,NA,180,1,2,NA,0,0,2669425309,NA,0,0,0,0,2,0,0,0,2,2100,0,"Sao Francisco, Rio Branco - AC","casas","https://www.zapimoveis.com.br/imovel/venda-casa-2-quartos-com-churrasqueira-sao-francisco-rio-branco-ac-180m2-id-2669425309/","https://resizedimgs.zapimoveis.com.br/fit-in/400x180/named.images.sp/cf9cbd55faec92c6df55ac075e5c0a48/casa-com-2-quartos-para-venda-ou-aluguel-180m-no-sao-francisco-rio-branco.jpg",-9.95828,-67.80029
0,NA,168,1,1,NA,0,0,2665322843,NA,0,0,0,0,3,0,0,0,2,1300,0,"Portal da Amazonia, Rio Branco - AC","casas","https://www.zapimoveis.com.br/imovel/aluguel-casa-3-quartos-com-cozinha-portal-da-amazonia-rio-branco-ac-168m2-id-2665322843/","https://resizedimgs.zapimoveis.com.br/fit-in/400x180/named.images.sp/0680ee0ac2cd2aa480170efa6e86c6f9/casa-com-3-quartos-para-alugar-168m-no-portal-da-amazonia-rio-branco.jpg",-9.97321,-67.86036
NA,NA,119,NA,4,NA,NA,NA,2670842960,NA,NA,NA,NA,NA,3,NA,NA,NA,4,2000,NA,"Travessa Fernando Lira, 09 - Isaura Parente, Rio Branco - AC","casas","https://www.zapimoveis.com.br/imovel/aluguel-casa-3-quartos-isaura-parente-rio-branco-ac-119m2-id-2670842960/","https://resizedimgs.zapimoveis.com.br/fit-in/400x180/named.images.sp/92efad5f860149c4f6914d0f595885e6/casa-com-3-quartos-para-alugar-119m-no-isaura-parente-rio-branco.jpg",-9.963687291154,-67.82376778178
