"academia","andar","area","area_servico","banheiro","condominio","elevador","espaco_gourmet","id","iptu","piscina","playground","portaria_24_horas","quadra_de_esporte","quarto","salao_de_festa","sauna","spa","vaga","valor","varanda_gourmet","endereco","tipo","url","latitude","longitude"
NA,10,262,NA,4,NA,NA,NA,2626021376,NA,NA,NA,NA,NA,3,NA,NA,NA,1,1500000,NA,"Avenida Marechal Rondon, 21 - Alto da Boa Vista, Bayeux - PB","casas","https://www.zapimoveis.com.br/imovel/venda-casa-3-quartos-alto-da-boa-vista-bayeux-pb-262m2-id-2626021376/",-7.133058942258,-34.935300818635
NA,NA,304,NA,1,NA,NA,NA,2623269901,500,NA,NA,NA,NA,5,NA,NA,NA,4,1900000,NA,"Rua Manoel Paulino Gomes, 22 - Comercial Norte, Bayeux - PB","casas","https://www.zapimoveis.com.br/imovel/venda-casa-5-quartos-comercial-norte-bayeux-pb-304m2-id-2623269901/",-7.14354683101,-34.919207306151
1,NA,220,1,1,NA,0,1,2647855308,NA,1,1,1,1,3,1,0,0,2,1300000,0,"Avenida Presidente Epitácio Pessoa, 10 - Jardim Aeroporto 	, Bayeux - PB","casas","https://www.zapimoveis.com.br/imovel/venda-casa-3-quartos-com-piscina-jardim-aeroporto-bayeux-pb-220m2-id-2647855308/",-7.135456377397,-34.938294337993
NA,NA,450,NA,4,NA,NA,NA,2644861444,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,1300000,NA,"Rua Princesa Isabel - Comercial Norte, Bayeux - PB","casas","https://www.zapimoveis.com.br/imovel/venda-casa-3-quartos-comercial-norte-bayeux-pb-450m2-id-2644861444/",-7.150782596946,-34.921948023177
0,NA,209,0,3,NA,0,1,2645317929,NA,1,1,0,1,3,1,0,0,4,1350000,0,"Comercial Norte, Bayeux - PB","casas","https://www.zapimoveis.com.br/imovel/venda-casa-3-quartos-com-piscina-comercial-norte-bayeux-pb-209m2-id-2645317929/",-7.14611,-34.92299
1,NA,214,0,3,NA,0,1,2634456177,NA,1,1,0,0,3,1,0,0,4,1350000,0,"Rodovia BR-101, 230 - Comercial Norte, Bayeux - PB","casas","https://www.zapimoveis.com.br/imovel/venda-casa-3-quartos-com-piscina-comercial-norte-bayeux-pb-214m2-id-2634456177/",-7.146316887735,-34.915435999078
NA,NA,153,NA,1,NA,NA,NA,2655451094,NA,NA,NA,NA,NA,3,NA,NA,NA,4,649900,NA,"Avenida Ricardo Loureiro Cavalcante, 172 - Jardim Aeroporto 	, Bayeux - PB","casas","https://www.zapimoveis.com.br/imovel/venda-casa-3-quartos-jardim-aeroporto-bayeux-pb-153m2-id-2655451094/",-7.137129994639,-34.939170039696
NA,NA,57,NA,1,NA,NA,NA,2614834237,NA,NA,NA,NA,NA,2,NA,NA,NA,1,155000,NA,"Rua Quinze de Novembro, 420 - Rio do Meio, Bayeux - PB","casas","https://www.zapimoveis.com.br/imovel/venda-casa-2-quartos-rio-do-meio-bayeux-pb-57m2-id-2614834237/",-7.134357274241,-34.934650635834
1,4,200,0,4,1,0,0,2636454376,1,1,1,0,1,3,0,1,1,4,1199900,0,"Rodovia BR-101, 123 - Comercial Norte, Bayeux - PB","casas","https://www.zapimoveis.com.br/imovel/venda-casa-3-quartos-com-piscina-comercial-norte-bayeux-pb-200m2-id-2636454376/",-7.146316887735,-34.915435999078
0,NA,209,0,1,NA,0,1,2655451860,700,1,1,0,1,3,1,1,1,4,1350000,0,"Rodovia BR-101, 86 - Centro, Bayeux - PB","casas","https://www.zapimoveis.com.br/imovel/venda-casa-3-quartos-com-piscina-centro-bayeux-pb-209m2-id-2655451860/",-7.134540920239,-34.928638510756
