"academia","andar","area","area_servico","banheiro","condominio","elevador","espaco_gourmet","id","iptu","piscina","playground","portaria_24_horas","quadra_de_esporte","quarto","salao_de_festa","sauna","spa","vaga","valor","varanda_gourmet","endereco","tipo","url","foto_imovel","latitude","longitude"
NA,NA,375,NA,4,NA,NA,NA,2664471301,4000,NA,NA,NA,NA,4,NA,NA,NA,4,7000,NA,"Rua Professor José Gurgel, 1 - Capim Macio, Natal - RN","casas","https://www.zapimoveis.com.br/imovel/venda-casa-4-quartos-capim-macio-natal-rn-375m2-id-2664471301/","https://resizedimgs.zapimoveis.com.br/fit-in/400x180/named.images.sp/2ef4079351a93ac8ef64efeea6b5b012/casa-com-4-quartos-para-venda-ou-aluguel-375m-no-capim-macio-natal.jpg",-5.849324961542,-35.199770053051
0,NA,120,1,1,NA,0,0,2664210894,NA,0,0,0,0,4,0,0,0,2,1913,0,"Nova Descoberta, Natal - RN","casas","https://www.zapimoveis.com.br/imovel/aluguel-casa-4-quartos-com-cozinha-nova-descoberta-natal-rn-120m2-id-2664210894/","https://resizedimgs.zapimoveis.com.br/fit-in/400x180/named.images.sp/a9d12037e300b04107bc562fe2e7a3a8/casa-com-4-quartos-para-alugar-120m-no-nova-descoberta-natal.jpg",-5.82866,-35.2016
0,NA,600,1,5,NA,0,0,2629785758,NA,1,0,0,0,5,0,0,0,10,3800,0,"Avenida Tropical, 204 - San Vale, Natal - RN","casas","https://www.zapimoveis.com.br/imovel/aluguel-casa-5-quartos-com-piscina-san-vale-natal-rn-600m2-id-2629785758/","https://resizedimgs.zapimoveis.com.br/fit-in/400x180/named.images.sp/8e0602489b214b08a1dd39b5a9d28ae6/casa-com-5-quartos-para-alugar-600m-no-san-vale-natal.jpg",-5.862999994244,-35.221689965213
0,2,800,0,5,NA,0,0,2617238196,NA,1,0,0,0,4,0,0,0,6,4000,1,"Rua Francisco Pignataro, 1488 - Capim Macio, Natal - RN","sobrados_para_alugar","https://www.zapimoveis.com.br/imovel/aluguel-sobrados-4-quartos-com-piscina-capim-macio-natal-rn-800m2-id-2617238196/","https://resizedimgs.zapimoveis.com.br/fit-in/400x180/named.images.sp/591e38347bec0d429fc5f961f3a8f335/sobrado-com-4-quartos-para-alugar-800m-no-capim-macio-natal.jpg",-5.859696130437,-35.202263437876
0,NA,74,1,2,350,0,0,2657030095,800,1,0,0,0,2,0,0,0,1,2800,0,"Rua Alto da Boa Vista, 425 - Ponta Negra, Natal - RN","casas","https://www.zapimoveis.com.br/imovel/aluguel-casa-2-quartos-com-piscina-ponta-negra-natal-rn-74m2-id-2657030095/","https://resizedimgs.zapimoveis.com.br/fit-in/400x180/named.images.sp/510e3d51f185a296b6a51f19d153505e/casa-com-2-quartos-para-alugar-74m-no-ponta-negra-natal.jpg",-5.886248620027,-35.168658984497
0,NA,400,0,4,NA,0,0,2660695561,NA,1,0,0,0,3,0,0,0,4,5000,0,"Rua Jornalista Francisco Sinedino - Lagoa Nova, Natal - RN","casas","https://www.zapimoveis.com.br/imovel/aluguel-casa-3-quartos-com-piscina-lagoa-nova-natal-rn-400m2-id-2660695561/","https://resizedimgs.zapimoveis.com.br/fit-in/400x180/named.images.sp/4d5fc7d01526049f33fec5106911c78c/casa-com-3-quartos-para-alugar-400m-no-lagoa-nova-natal.jpg",-5.81968902472,-35.216982576474
0,NA,80,1,1,NA,0,0,2656951780,NA,0,0,0,0,2,0,0,0,1,850,0,"Dix-sept Rosado, Natal - RN","casas","https://www.zapimoveis.com.br/imovel/aluguel-casa-2-quartos-com-frente-para-o-mar-dix-sept-rosado-natal-rn-80m2-id-2656951780/","https://resizedimgs.zapimoveis.com.br/fit-in/400x180/named.images.sp/e0cd1be353d5a935676fbd97778f18fc/casa-com-2-quartos-para-alugar-80m-no-dix-sept-rosado-natal.jpg",-5.80478,-35.22716
1,NA,517,0,5,NA,0,1,2668472534,NA,1,0,0,0,4,0,0,0,4,4000,0,"Rua Joaquim Alves - Lagoa Nova, Natal - RN","casas","https://www.zapimoveis.com.br/imovel/aluguel-casa-4-quartos-com-piscina-lagoa-nova-natal-rn-517m2-id-2668472534/","https://resizedimgs.zapimoveis.com.br/fit-in/400x180/named.images.sp/c844656f32acbd86377b495bf65ea543/casa-com-4-quartos-para-alugar-517m-no-lagoa-nova-natal.jpg",-5.83933385325,-35.208795448616
0,NA,120,1,2,NA,0,0,2634531637,120,0,0,0,0,3,0,0,0,4,2000,0,"Rua Francisco Aires de Carvalho, 65 - Neópolis, Natal - RN","casas","https://www.zapimoveis.com.br/imovel/aluguel-casa-3-quartos-com-cozinha-neopolis-natal-rn-120m2-id-2634531637/","https://resizedimgs.zapimoveis.com.br/fit-in/400x180/named.images.sp/37fcaef24678cfa3a96120e6092a23c2/casa-com-3-quartos-para-alugar-120m-no-neopolis-natal.jpg",-5.86790634057,-35.213335685359
NA,NA,100,NA,1,NA,NA,NA,2668539101,NA,NA,NA,NA,NA,3,NA,NA,NA,1,1700,NA,"Rua Antônio China, 659 - Lagoa Seca, Natal - RN","casas","https://www.zapimoveis.com.br/imovel/aluguel-casa-3-quartos-lagoa-seca-natal-rn-100m2-id-2668539101/","https://resizedimgs.zapimoveis.com.br/fit-in/400x180/named.images.sp/a1a9ea70b30ffa76afbea03e68fa289a/casa-com-3-quartos-para-alugar-100m-no-lagoa-seca-natal.jpg",-5.80834998554,-35.207769970972
