"academia","andar","area","area_servico","banheiro","condominio","elevador","espaco_gourmet","id","iptu","piscina","playground","portaria_24_horas","quadra_de_esporte","quarto","salao_de_festa","sauna","spa","vaga","valor","varanda_gourmet","endereco","tipo","url","latitude","longitude"
0,2,103,1,3,1050,1,0,2654344364,1680,0,0,0,1,4,0,0,0,1,290000,0,"Avenida Amazonas, 57 - Prado, Maceió - AL","apartamentos","https://www.zapimoveis.com.br/imovel/venda-apartamento-4-quartos-com-churrasqueira-prado-maceio-al-103m2-id-2654344364/",-9.66946999527,-35.746010027708
0,10,65,0,2,400,0,1,2633997218,NA,0,1,1,0,2,1,0,0,1,460000,0,"Rua Diégues Júnior, 113 - Poço, Maceió - AL","apartamentos","https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-com-churrasqueira-poco-maceio-al-65m2-id-2633997218/",-9.657660019425,-35.729119989895
0,2,50,0,2,600,0,0,2654209662,600,0,0,1,0,2,0,0,0,1,205000,0,"Avenida Comendador Leão, 100 - Poço, Maceió - AL","apartamentos","https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-com-acesso-24-horas-poco-maceio-al-50m2-id-2654209662/",-9.657124983713,-35.72290266819
0,2,50,1,1,250,0,0,2651705661,500,0,1,1,1,2,1,0,0,1,140000,0,"Avenida Galba Novaes de Castro, 881 - Jardim Petrópolis, Maceió - AL","apartamentos","https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-com-churrasqueira-jardim-petropolis-maceio-al-50m2-id-2651705661/",-9.595730013491,-35.752209995758
1,4,87,1,4,600,1,1,2607326208,NA,1,1,1,0,3,1,0,1,2,638169,0,"Rua Aureliano Teixeira de Vasconcelos, 57 - Jatiúca, Maceió - AL","apartamentos","https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-piscina-jatiuca-maceio-al-87m2-id-2607326208/",-9.649136720943,-35.709711415536
0,NA,68,0,1,NA,1,1,2593364377,NA,1,1,0,0,2,1,0,0,2,330000,1,"Avenida Muniz Falcão, 1000 - Barro Duro, Maceió - AL","apartamentos","https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-com-piscina-barro-duro-maceio-al-68m2-id-2593364377/",-9.61674322998,-35.719963507464
0,NA,47,0,1,NA,0,0,2649456272,NA,0,0,1,0,2,1,0,0,NA,115000,0,"Condomínio Village da Alvorada, 771 - Benedito Bentes, Maceió - AL","apartamentos","https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-com-churrasqueira-benedito-bentes-maceio-al-47m2-id-2649456272/",-9.55276,-35.71581
0,1,86,1,1,480,1,0,2654762655,NA,1,0,0,0,3,0,0,0,1,429900,0,"Gruta de Lourdes, Maceió - AL","apartamentos","https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-piscina-gruta-de-lourdes-maceio-al-86m2-id-2654762655/",-9.61947,-35.7344
0,NA,50,0,1,NA,1,1,2644942278,NA,0,1,1,1,2,1,0,0,1,187000,0,"Rua Bernardino de Souza Ferreira, 1 - Tabuleiro do Martins, Maceió - AL","apartamentos","https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-com-churrasqueira-tabuleiro-do-martins-maceio-al-50m2-id-2644942278/",-9.580177399134,-35.762811173574
1,NA,45,0,2,400,1,0,2655714578,80,1,1,0,0,2,1,0,0,1,290000,0,"Avenida Roberto Pontes Lima - Trapiche da Barra, Maceió - AL","apartamentos","https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-com-piscina-trapiche-da-barra-maceio-al-45m2-id-2655714578/",-9.673642694654,-35.754411548099
