"academia","andar","area","area_servico","banheiro","condominio","elevador","espaco_gourmet","id","iptu","piscina","playground","portaria_24_horas","quadra_de_esporte","quarto","sauna","spa","vaga","valor","varanda_gourmet","endereco","tipo","url","latitude","longitude"
0,NA,270,0,4,NA,0,0,2645840533,NA,0,0,0,0,3,0,0,5,610000,1,"São José de Ribamar - MA","casas","https://www.zapimoveis.com.br/imovel/venda-casa-3-quartos-com-churrasqueira-sao-jose-de-ribamar-ma-270m2-id-2645840533/",-2.55002,-44.06755
NA,NA,57,NA,2,2,NA,NA,2644102502,2,NA,NA,NA,NA,2,NA,NA,1,175003,NA,"Estrada de Ribamar, 201 - São José de Ribamar - MA","apartamentos","https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-sao-jose-de-ribamar-ma-57m2-id-2644102502/",-2.551982498362,-44.177581851989
NA,NA,140,NA,2,NA,NA,NA,2535954106,NA,NA,NA,NA,NA,3,NA,NA,3,255000,NA,"Loteamento Jardim Turu, São José de Ribamar - MA","casas","https://www.zapimoveis.com.br/imovel/venda-casa-3-quartos-loteamento-jardim-turu-sao-jose-de-ribamar-ma-140m2-id-2535954106/",-2.5034,-44.23486
NA,NA,250,NA,1,340,NA,NA,2645235257,1,NA,NA,NA,NA,1,NA,NA,NA,2e+05,NA,"Travessa do Panaquatira, 1 - São José de Ribamar - MA","terrenos_lotes_e_condominios","https://www.zapimoveis.com.br/imovel/venda-terreno-lote-condominio-1-quarto-sao-jose-de-ribamar-ma-250m2-id-2645235257/",-2.541730987304,-44.066340392397
NA,NA,51,NA,1,2,NA,NA,2644988554,2,NA,NA,NA,NA,2,NA,NA,1,196003,NA,"Boa Vista, São José de Ribamar - MA","casas_de_condominio","https://www.zapimoveis.com.br/imovel/venda-casa-de-condominio-2-quartos-boa-vista-sao-jose-de-ribamar-ma-51m2-id-2644988554/",-2.542505007024,-44.202935008427
0,NA,200,0,2,NA,0,1,2590866242,NA,0,0,1,0,4,0,0,2,615000,0,"Araçagy, São José de Ribamar - MA","sobrados","https://www.zapimoveis.com.br/imovel/venda-sobrados-4-quartos-com-espaco-gourmet-aracagy-sao-jose-de-ribamar-ma-200m2-id-2590866242/",-2.47975864141,-44.211260753471
1,NA,62,0,2,300,1,1,2623291726,200,1,1,0,1,2,1,0,1,2e+05,0,"Araçagy, São José de Ribamar - MA","apartamentos","https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-com-piscina-aracagy-sao-jose-de-ribamar-ma-62m2-id-2623291726/",-2.47975864141,-44.211260753471
0,NA,100,0,2,NA,0,0,2589727480,300,0,0,0,0,3,0,0,3,350000,1,"Araçagy, São José de Ribamar - MA","casas","https://www.zapimoveis.com.br/imovel/venda-casa-3-quartos-aracagy-sao-jose-de-ribamar-ma-100m2-id-2589727480/",-2.47975864141,-44.211260753471
1,3,44,0,1,NA,0,1,2625460446,NA,1,1,1,1,2,0,0,1,55000,0,"São José de Ribamar - MA","apartamentos","https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-com-piscina-sao-jose-de-ribamar-ma-44m2-id-2625460446/",-2.55002,-44.06755
0,NA,720,1,3,NA,0,0,2565018811,300,0,0,0,0,4,0,0,6,480000,0,"Avenida Norte, 15 - Araçagy, São José de Ribamar - MA","casas","https://www.zapimoveis.com.br/imovel/venda-casa-4-quartos-aracagy-sao-jose-de-ribamar-ma-720m2-id-2565018811/",-2.480667515989,-44.19288835016
1,NA,200,0,3,66,1,1,2645704356,66,1,1,1,1,3,1,1,3,1074000,1,"Araçagy, São José de Ribamar - MA","casas_de_condominio","https://www.zapimoveis.com.br/imovel/venda-casa-de-condominio-3-quartos-com-piscina-aracagy-sao-jose-de-ribamar-ma-200m2-id-2645704356/",-2.47975864141,-44.211260753471
NA,NA,40,NA,1,1,NA,NA,2645008061,1,NA,NA,NA,NA,2,NA,NA,1,172416,NA,"Forquilha, São José de Ribamar - MA","apartamentos","https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-forquilha-sao-jose-de-ribamar-ma-40m2-id-2645008061/",-2.55002,-44.06755
NA,NA,152,NA,2,NA,NA,NA,2634959063,NA,NA,NA,NA,NA,2,NA,NA,2,160000,NA,"Mata, São José de Ribamar - MA","casas","https://www.zapimoveis.com.br/imovel/venda-casa-2-quartos-mata-sao-jose-de-ribamar-ma-152m2-id-2634959063/",-2.57792,-44.15968
NA,NA,90,NA,2,NA,NA,NA,2638300859,NA,NA,NA,NA,NA,2,NA,NA,2,185000,NA,"Novo Cohatrac, São José de Ribamar - MA","casas","https://www.zapimoveis.com.br/imovel/venda-casa-2-quartos-novo-cohatrac-sao-jose-de-ribamar-ma-90m2-id-2638300859/",-2.54014,-44.2055
0,NA,45,0,1,1,1,0,2646357862,1,0,0,1,0,2,0,0,1,176105,0,"MA-203, 12 - Araçagy, São José de Ribamar - MA","apartamentos","https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-aracagy-sao-jose-de-ribamar-ma-45m2-id-2646357862/",-2.476029997913,-44.190440021544
NA,NA,166,NA,1,NA,NA,NA,2641482282,100,NA,NA,NA,NA,3,NA,NA,2,140000,NA,"Araçagy, São José de Ribamar - MA","casas","https://www.zapimoveis.com.br/imovel/venda-casa-3-quartos-com-varanda-aracagy-sao-jose-de-ribamar-ma-166m2-id-2641482282/",-2.47975864141,-44.211260753471
NA,NA,85,NA,2,NA,NA,NA,2637214754,50,NA,NA,NA,NA,3,NA,NA,2,177000,NA,"Rua Santo Antônio, 7 - Forquilha, São José de Ribamar - MA","casas","https://www.zapimoveis.com.br/imovel/venda-casa-3-quartos-forquilha-sao-jose-de-ribamar-ma-85m2-id-2637214754/",-2.558699996471,-44.201340016071
0,NA,89,0,2,300,0,1,2643380577,360,1,0,1,0,2,0,0,2,3e+05,0,"Vila Doutor Julinho, São José de Ribamar - MA","casas_de_condominio","https://www.zapimoveis.com.br/imovel/venda-casa-de-condominio-2-quartos-com-piscina-vila-doutor-julinho-sao-jose-de-ribamar-ma-89m2-id-2643380577/",-2.55143,-44.08224
NA,NA,57,NA,2,1,NA,NA,2646684270,1,NA,NA,NA,NA,2,NA,NA,1,236956,NA,"Avenida Norte, 3 - Araçagy, São José de Ribamar - MA","apartamentos","https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-aracagy-sao-jose-de-ribamar-ma-57m2-id-2646684270/",-2.491805734264,-44.192230176216
1,NA,54,1,1,1,0,1,2646321308,1,1,1,1,0,2,1,0,1,180000,0,"Avenida Maranguape, 56 - Forquilha, São José de Ribamar - MA","apartamentos","https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-com-piscina-forquilha-sao-jose-de-ribamar-ma-54m2-id-2646321308/",-2.559893419617,-44.203754993043
