academia,andar,area,area_servico,banheiro,condominio,elevador,endereco,espaco_gourmet,id,iptu,piscina,playground,portaria_24_horas,quadra_de_esporte,quarto,salao_de_festa,sauna,spa,tipo,url,vaga,valor,varanda_gourmet
,,75.0,,1.0,,,"Rua Cento e Trinta e Cinco, 1 - Cordeirinho, Maricá - RJ",,2647333889,600.0,,,,,2.0,,,,casas,https://www.zapimoveis.com.br/imovel/venda-casa-2-quartos-cordeirinho-marica-rj-75m2-id-2647333889/,,255000.0,
,,900.0,,2.0,1.0,,"Rua Dez, 100 - Vale Da Figueira, Maricá - RJ",,2647308367,390.0,,,,,3.0,,,,casas,https://www.zapimoveis.com.br/imovel/venda-casa-3-quartos-vale-da-figueira-marica-rj-900m2-id-2647308367/,4.0,424640.0,
0,,76.0,1.0,2.0,200.0,0,"Estrada Henfil, 414 - Itapeba, Maricá - RJ",0,2646777550,50.0,1.0,0,0,1.0,2.0,0,1.0,0,casas_de_condominio,https://www.zapimoveis.com.br/imovel/venda-casa-de-condominio-2-quartos-com-piscina-itapeba-marica-rj-76m2-id-2646777550/,1.0,360000.0,0
,,66.0,,2.0,,,"Rua dos Jasmins, 01 / 03 - Barroco, Maricá - RJ",,2646625366,700.0,,,,,2.0,,,,casas,https://www.zapimoveis.com.br/imovel/venda-casa-2-quartos-barroco-marica-rj-66m2-id-2646625366/,3.0,400000.0,
,,650.0,,5.0,400.0,,"Rodovia Ernani do Amaral Peixoto, 100 - Flamengo, Maricá - RJ",,2647326112,2200.0,,,,,4.0,,,,casas_de_condominio,https://www.zapimoveis.com.br/imovel/venda-casa-de-condominio-4-quartos-flamengo-marica-rj-650m2-id-2647326112/,3.0,1098410.0,
0,,75.0,1.0,2.0,,0,"Jardim Atlântico Oeste, Maricá - RJ",0,2627149547,,0,0,0,0,3.0,0,0,0,casas,https://www.zapimoveis.com.br/imovel/venda-casa-3-quartos-com-area-de-servico-jardim-atlantico-oeste-marica-rj-75m2-id-2627149547/,2.0,430000.0,0
0,,70.0,1.0,2.0,,0,"Avenida Elomir Gonçalves da Silva - São José de Imbassai, Maricá - RJ",0,2616491847,200.0,0,0,0,0,2.0,0,0,0,sobrados,https://www.zapimoveis.com.br/imovel/venda-sobrados-2-quartos-com-area-de-servico-sao-jose-de-imbassai-marica-rj-70m2-id-2616491847/,,280000.0,0
,,360.0,,,200.0,,"Rodovia Ernani do Amaral Peixoto, 9 - Inoã, Maricá - RJ",,2647474550,,,,,,,,,,terrenos_lotes_e_condominios,https://www.zapimoveis.com.br/imovel/venda-terreno-lote-condominio-inoa-marica-rj-360m2-id-2647474550/,,280000.0,
,,400.0,,,305.0,,"Rua A, 111 - Cajueiro, Maricá - RJ",,2643783228,50.0,,,,,,,,,terrenos_lotes_e_condominios,https://www.zapimoveis.com.br/imovel/venda-terreno-lote-condominio-cajueiro-marica-rj-400m2-id-2643783228/,,265000.0,
,,48.0,,1.0,25.0,,"Rua das Arraias, 71 - Cajueiro, Maricá - RJ",,2508510178,213.0,,,,,2.0,,,,casas_de_condominio,https://www.zapimoveis.com.br/imovel/venda-casa-de-condominio-2-quartos-cajueiro-marica-rj-48m2-id-2508510178/,1.0,170000.0,
,,371.0,,,402.0,,"Rodovia Vereador Oldemar Guedes Figueiredo, 2560 - Ubatiba, Maricá - RJ",,2643782091,141.0,,,,,,,,,terrenos_lotes_e_condominios,https://www.zapimoveis.com.br/imovel/venda-terreno-lote-condominio-ubatiba-marica-rj-371m2-id-2643782091/,,123350.0,
,,300.0,,2.0,,,"Rua Ismael Barros de Figueiredo - Ubatiba, Maricá - RJ",,2470436099,1200.0,,,,,3.0,,,,casas,https://www.zapimoveis.com.br/imovel/venda-casa-3-quartos-ubatiba-marica-rj-300m2-id-2470436099/,5.0,410000.0,
,,480.0,,,,,"Rua Jorge Amado - São José de Imbassai, Maricá - RJ",,2647527035,1.0,,,,,,,,,terrenos_lotes_e_condominios,https://www.zapimoveis.com.br/imovel/venda-terreno-lote-condominio-sao-jose-de-imbassai-marica-rj-480m2-id-2647527035/,,70000.0,
1.0,,66.0,1.0,2.0,185.0,0,"Estrada Henfil, 414 - Pindobas, Maricá - RJ",1.0,2647280000,450.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0,casas,https://www.zapimoveis.com.br/imovel/venda-casa-2-quartos-com-piscina-pindobas-marica-rj-66m2-id-2647280000/,2.0,315000.0,0
,,360.0,,,390.0,,"Rua A, 190 - Pindobas, Maricá - RJ",,2644458190,150.0,,,,,,,,,terrenos_lotes_e_condominios,https://www.zapimoveis.com.br/imovel/venda-terreno-lote-condominio-pindobas-marica-rj-360m2-id-2644458190/,,150000.0,
1.0,,360.0,0,,1.0,0,"Estrada Monte Líbano - Inoã, Maricá - RJ",1.0,2647754095,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,terrenos_lotes_e_condominios,https://www.zapimoveis.com.br/imovel/venda-terreno-lote-condominio-com-piscina-inoa-marica-rj-360m2-id-2647754095/,,39000.0,0
1.0,,360.0,0,,400.0,0,"Estrada Oscar Vieira da Costa Júnior, 100 - Cajueiro, Maricá - RJ",0,2647328676,1200.0,1.0,1.0,0,1.0,,1.0,1.0,0,terrenos_lotes_e_condominios,https://www.zapimoveis.com.br/imovel/venda-terreno-lote-condominio-com-piscina-cajueiro-marica-rj-360m2-id-2647328676/,,159640.0,0
,,375.0,,,595.0,,"Rodovia Ernani do Amaral Peixoto, 11 - Inoã, Maricá - RJ",,2635044559,2057.0,,,,,,,,,terrenos_lotes_e_condominios,https://www.zapimoveis.com.br/imovel/venda-terreno-lote-condominio-inoa-marica-rj-375m2-id-2635044559/,,170000.0,
,,150.0,,3.0,,,"Rua Jayme de Carvalho, 40 - Jardim Atlantico Leste Itaipuacu, Maricá - RJ",,2634171970,800.0,,,,,3.0,,,,casas,https://www.zapimoveis.com.br/imovel/venda-casa-3-quartos-com-cozinha-jardim-atlantico-leste-itaipuacu-marica-rj-150m2-id-2634171970/,10.0,460000.0,
0,,360.0,0,4.0,285.0,0,"Estrada de Itaipuaçu, 100 - Recanto De Itaipuacu, Maricá - RJ",0,2647326111,1500.0,0,1.0,0,1.0,4.0,1.0,0,0,casas_de_condominio,https://www.zapimoveis.com.br/imovel/venda-casa-de-condominio-4-quartos-com-churrasqueira-recanto-de-itaipuacu-marica-rj-360m2-id-2647326111/,3.0,689570.0,0
0,,165.0,0,4.0,1.0,0,"Rua Quatro, 100 - Chácaras De Inoã, Maricá - RJ",1.0,2647299181,1.0,0,0,0,0,3.0,0,0,0,casas,https://www.zapimoveis.com.br/imovel/venda-casa-3-quartos-com-churrasqueira-chacaras-de-inoa-marica-rj-165m2-id-2647299181/,3.0,549070.0,0
,,360.0,,,,,"Rua A, SN - Inoã, Maricá - RJ",,2647335133,,,,,,,,,,terrenos_lotes_e_condominios,https://www.zapimoveis.com.br/imovel/venda-terreno-lote-condominio-inoa-marica-rj-360m2-id-2647335133/,,115000.0,
1.0,,451.0,0,,450.0,0,"Estrada de Ponta Negra, 400 - Ponta Negra, Maricá - RJ",1.0,2647355558,,1.0,0,0,1.0,,1.0,0,0,terrenos_lotes_e_condominios,https://www.zapimoveis.com.br/imovel/venda-terreno-lote-condominio-com-piscina-ponta-negra-marica-rj-451m2-id-2647355558/,,239900.0,0
,,2700.0,,,1.0,,"Rua Tenente Couteiro, 100 - Rincao Mimoso Itaipuacu, Maricá - RJ",,2647189430,1.0,,,,,,,,,terrenos_lotes_e_condominios,https://www.zapimoveis.com.br/imovel/venda-terreno-lote-condominio-rincao-mimoso-itaipuacu-marica-rj-2700m2-id-2647189430/,,348660.0,
