"academia","andar","area","area_servico","banheiro","condominio","elevador","endereco","espaco_gourmet","id","iptu","piscina","playground","portaria_24_horas","quadra_de_esporte","quarto","salao_de_festa","sauna","spa","tipo","url","vaga","valor","varanda_gourmet","latitude","longitude"
0,NA,360,1,4,NA,0,"Araçagy, São José de Ribamar - MA",0,2534508206,NA,1,0,0,0,3,0,0,0,"casas","https://www.zapimoveis.com.br/imovel/venda-casa-3-quartos-com-piscina-aracagy-sao-jose-de-ribamar-ma-360m2-id-2534508206/",4,430000,0,-2.47975864141,-44.211260753471
0,NA,145,0,4,NA,0,"Araçagy, São José de Ribamar - MA",1,2631416659,NA,1,0,0,0,1,0,0,0,"casas","https://www.zapimoveis.com.br/imovel/venda-casa-1-quarto-com-piscina-aracagy-sao-jose-de-ribamar-ma-145m2-id-2631416659/",6,650000,0,-2.47975864141,-44.211260753471
0,2,220,0,5,1,0,"Araçagy, São José de Ribamar - MA",0,2643723762,1,1,0,0,0,4,0,0,0,"casas_de_condominio","https://www.zapimoveis.com.br/imovel/venda-casa-de-condominio-4-quartos-com-piscina-aracagy-sao-jose-de-ribamar-ma-220m2-id-2643723762/",2,1100000,0,-2.47975864141,-44.211260753471
NA,NA,40,NA,1,1,NA,"Forquilha, São José de Ribamar - MA",NA,2647737859,1,NA,NA,NA,NA,2,NA,NA,NA,"apartamentos","https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-forquilha-sao-jose-de-ribamar-ma-40m2-id-2647737859/",1,172407,NA,-2.55002,-44.06755
NA,NA,2468,NA,1,NA,NA,"Centro, São José de Ribamar - MA",NA,2578921968,NA,NA,NA,NA,NA,1,NA,NA,NA,"fazendas_sitios_e_chacaras","https://www.zapimoveis.com.br/imovel/venda-fazenda-sitio-chacara-1-quarto-com-armario-de-cozinha-centro-sao-jose-de-ribamar-ma-2468m2-id-2578921968/",8,210000,NA,-2.56098,-44.05524
0,NA,103,0,1,NA,0,"Araçagy, São José de Ribamar - MA",0,2649532356,300,0,0,0,0,3,0,0,0,"casas","https://www.zapimoveis.com.br/imovel/venda-casa-3-quartos-com-jardim-aracagy-sao-jose-de-ribamar-ma-103m2-id-2649532356/",4,380000,1,-2.47975864141,-44.211260753471
NA,NA,120,NA,2,NA,NA,"Araçagy, São José de Ribamar - MA",NA,2571208772,NA,NA,NA,NA,NA,3,NA,NA,NA,"casas","https://www.zapimoveis.com.br/imovel/venda-casa-3-quartos-aracagy-sao-jose-de-ribamar-ma-120m2-id-2571208772/",3,480000,NA,-2.47975864141,-44.211260753471
0,NA,160,0,2,NA,0,"Araçagy, São José de Ribamar - MA",1,2637433917,NA,1,1,1,0,3,0,0,0,"casas_de_condominio","https://www.zapimoveis.com.br/imovel/venda-casa-de-condominio-3-quartos-com-piscina-aracagy-sao-jose-de-ribamar-ma-160m2-id-2637433917/",2,580000,0,-2.47975864141,-44.211260753471
NA,NA,40,NA,1,1,NA,"Forquilha, São José de Ribamar - MA",NA,2648340556,1,NA,NA,NA,NA,2,NA,NA,NA,"apartamentos","https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-forquilha-sao-jose-de-ribamar-ma-40m2-id-2648340556/",1,172406,NA,-2.55002,-44.06755
0,NA,160,0,3,NA,0,"Araçagy, São José de Ribamar - MA",1,2642511311,NA,1,0,1,0,3,0,0,0,"casas_de_condominio","https://www.zapimoveis.com.br/imovel/venda-casa-de-condominio-3-quartos-com-piscina-aracagy-sao-jose-de-ribamar-ma-160m2-id-2642511311/",2,580000,0,-2.47975864141,-44.211260753471
