"academia","andar","area","area_servico","banheiro","condominio","elevador","endereco","espaco_gourmet","id","iptu","piscina","playground","portaria_24_horas","quadra_de_esporte","quarto","salao_de_festa","sauna","spa","tipo","url","vaga","valor","varanda_gourmet","latitude","longitude"
"1.0",NA,"300.0","0","5.0","335.0","0","Rodovia BR-423, 420 - Heliopolis, Garanhuns - PE","0","2511900769","507.0","1.0","1.0","1.0","0","4.0","1.0","0","0","casas_de_condominio","https://www.zapimoveis.com.br/imovel/venda-casa-de-condominio-4-quartos-com-piscina-heliopolis-garanhuns-pe-300m2-id-2511900769/","2.0","970000.0","0",-8.878170035384,-36.48201985825
NA,NA,"100.0",NA,"1.0",NA,NA,"Dom Helder Camara, Garanhuns - PE",NA,"2610008549",NA,NA,NA,NA,NA,"2.0",NA,NA,NA,"casas","https://www.zapimoveis.com.br/imovel/venda-casa-2-quartos-dom-helder-camara-garanhuns-pe-100m2-id-2610008549/","1.0","110000.0",NA,-8.86532,-36.50062
NA,NA,"72.0",NA,"2.0",NA,NA,"Aloisio Souto Pinto, Garanhuns - PE",NA,"2634739152",NA,NA,NA,NA,NA,"2.0",NA,NA,NA,"apartamentos","https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-aloisio-souto-pinto-garanhuns-pe-72m2-id-2634739152/","1.0","290000.0",NA,-8.89925,-36.50345
NA,NA,"160.0",NA,"1.0",NA,NA,"Heliopolis, Garanhuns - PE",NA,"2610009345",NA,NA,NA,NA,NA,"3.0",NA,NA,NA,"casas","https://www.zapimoveis.com.br/imovel/venda-casa-3-quartos-heliopolis-garanhuns-pe-160m2-id-2610009345/",NA,"193000.0",NA,-8.88638,-36.47507
NA,NA,"80.0",NA,"1.0",NA,NA,"Boa Vista, Garanhuns - PE",NA,"2610009337",NA,NA,NA,NA,NA,"2.0",NA,NA,NA,"casas","https://www.zapimoveis.com.br/imovel/venda-casa-2-quartos-boa-vista-garanhuns-pe-80m2-id-2610009337/","1.0","81000.0",NA,-8.91037,-36.4909
NA,NA,"57.0",NA,"1.0",NA,NA,"Aloisio Souto Pinto, Garanhuns - PE",NA,"2626604655",NA,NA,NA,NA,NA,"2.0",NA,NA,NA,"apartamentos","https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-aloisio-souto-pinto-garanhuns-pe-57m2-id-2626604655/","1.0","260000.0",NA,-8.89925,-36.50345
NA,NA,"150.0",NA,"2.0",NA,NA,"Heliopolis, Garanhuns - PE",NA,"2636750615",NA,NA,NA,NA,NA,"4.0",NA,NA,NA,"casas","https://www.zapimoveis.com.br/imovel/venda-casa-4-quartos-com-varanda-heliopolis-garanhuns-pe-150m2-id-2636750615/","2.0","320000.0",NA,-8.88638,-36.47507
NA,NA,"200.0",NA,NA,NA,NA,"Dom Helder Camara, Garanhuns - PE",NA,"2610007819",NA,NA,NA,NA,NA,NA,NA,NA,NA,"terrenos_lotes_e_condominios","https://www.zapimoveis.com.br/imovel/venda-terreno-lote-condominio-dom-helder-camara-garanhuns-pe-200m2-id-2610007819/",NA,"25000.0",NA,-8.86532,-36.50062
NA,NA,"120.0",NA,"2.0",NA,NA,"Heliopolis, Garanhuns - PE",NA,"2613575016",NA,NA,NA,NA,NA,"2.0",NA,NA,NA,"casas","https://www.zapimoveis.com.br/imovel/venda-casa-2-quartos-heliopolis-garanhuns-pe-120m2-id-2613575016/",NA,"140000.0",NA,-8.88638,-36.47507
NA,NA,"80.0",NA,"1.0",NA,NA,"Boa Vista, Garanhuns - PE",NA,"2636752565",NA,NA,NA,NA,NA,"2.0",NA,NA,NA,"casas","https://www.zapimoveis.com.br/imovel/venda-casa-2-quartos-boa-vista-garanhuns-pe-80m2-id-2636752565/","1.0","85000.0",NA,-8.91037,-36.4909
NA,NA,"180.0",NA,"2.0",NA,NA,"Heliopolis, Garanhuns - PE",NA,"2610008544",NA,NA,NA,NA,NA,"4.0",NA,NA,NA,"casas","https://www.zapimoveis.com.br/imovel/venda-casa-4-quartos-com-varanda-heliopolis-garanhuns-pe-180m2-id-2610008544/",NA,"255000.0",NA,-8.88638,-36.47507
NA,NA,"150.0",NA,"2.0",NA,NA,"Heliopolis, Garanhuns - PE",NA,"2610009344",NA,NA,NA,NA,NA,"2.0",NA,NA,NA,"apartamentos","https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-com-varanda-heliopolis-garanhuns-pe-150m2-id-2610009344/",NA,"190000.0",NA,-8.88638,-36.47507
NA,NA,"66.0",NA,"1.0",NA,NA,"Aloisio Souto Pinto, Garanhuns - PE",NA,"2626604183",NA,NA,NA,NA,NA,"2.0",NA,NA,NA,"apartamentos","https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-aloisio-souto-pinto-garanhuns-pe-66m2-id-2626604183/","1.0","275000.0",NA,-8.89925,-36.50345
"0",NA,"89.0","0","1.0",NA,"0","Heliopolis, Garanhuns - PE","0","2611053260",NA,"0","0","0","0","3.0","0","0","0","casas","https://www.zapimoveis.com.br/imovel/venda-casa-3-quartos-heliopolis-garanhuns-pe-89m2-id-2611053260/","2.0","170000.0","1.0",-8.88638,-36.47507
NA,NA,"200.0",NA,NA,NA,NA,"Francisco Simao dos Santos Figueira, Garanhuns - PE",NA,"2610008093",NA,NA,NA,NA,NA,NA,NA,NA,NA,"terrenos_lotes_e_condominios","https://www.zapimoveis.com.br/imovel/venda-terreno-lote-condominio-francisco-simao-dos-santos-figueira-garanhuns-pe-200m2-id-2610008093/",NA,"60000.0",NA,-8.90736,-36.47857
NA,NA,"50.0",NA,"1.0",NA,NA,"Dom Helder Camara, Garanhuns - PE",NA,"2610011432",NA,NA,NA,NA,NA,"2.0",NA,NA,NA,"casas","https://www.zapimoveis.com.br/imovel/venda-casa-2-quartos-dom-helder-camara-garanhuns-pe-50m2-id-2610011432/","4.0","155000.0",NA,-8.86532,-36.50062
NA,NA,"100.0",NA,NA,NA,NA,"Magano, Garanhuns - PE",NA,"2623999111",NA,NA,NA,NA,NA,NA,NA,NA,NA,"terrenos_lotes_e_condominios","https://www.zapimoveis.com.br/imovel/venda-terreno-lote-condominio-magano-garanhuns-pe-100m2-id-2623999111/",NA,"60000.0",NA,-8.86478,-36.52015
NA,"1.0","100.0",NA,"1.0",NA,NA,"Avenida Duque de Caxias, 48 - Heliopolis, Garanhuns - PE",NA,"2617711408",NA,NA,NA,NA,NA,"3.0",NA,NA,NA,"casas","https://www.zapimoveis.com.br/imovel/venda-casa-3-quartos-heliopolis-garanhuns-pe-100m2-id-2617711408/","1.0","300000.0",NA,-8.883147656135,-36.474195299064
NA,NA,"215.0",NA,"2.0",NA,NA,"Boa Vista, Garanhuns - PE",NA,"2636752567",NA,NA,NA,NA,NA,"3.0",NA,NA,NA,"casas","https://www.zapimoveis.com.br/imovel/venda-casa-3-quartos-boa-vista-garanhuns-pe-215m2-id-2636752567/","2.0","328000.0",NA,-8.91037,-36.4909
NA,NA,"110.0",NA,"1.0",NA,NA,"Boa Vista, Garanhuns - PE",NA,"2636752564",NA,NA,NA,NA,NA,"2.0",NA,NA,NA,"casas","https://www.zapimoveis.com.br/imovel/venda-casa-2-quartos-com-varanda-boa-vista-garanhuns-pe-110m2-id-2636752564/","1.0","115000.0",NA,-8.91037,-36.4909
