academia,area,area_servico,banheiro,condominio,elevador,espaco_gourmet,iptu,piscina,playground,portaria_24_horas,quadra_de_esporte,quarto,salao_de_festa,sauna,spa,tipo,vaga,valor,varanda_gourmet,latitude,longitude,area_aluguel,valor_aluguel,qnt_beneficio
1.0,54.0,0.0,2.0,500.0,1.0,1.0,450.0,1.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,apartamentos,1.0,720000.0,1.0,-7.121349520022,-34.825899901745,56.0,3500.0,
0.0,45.0,0.0,2.0,150.0,0.0,1.0,,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,apartamentos,1.0,324150.0,0.0,-7.1150428,-34.8567486,95.0,2850.0,15.0
0.0,58.0,0.0,1.0,,0.0,0.0,,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,apartamentos,1.0,550000.0,0.0,-7.1353414,-34.8196967,56.0,3500.0,
0.0,144.0,0.0,4.0,,1.0,0.0,,1.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,apartamentos,2.0,749000.0,0.0,-7.1049787,-34.8344596,60.0,2800.0,
0.0,55.0,1.0,1.0,,0.0,0.0,,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,apartamentos,1.0,249000.0,0.0,-7.0673665,-34.843179,60.0,2400.0,65.0
1.0,130.0,0.0,4.0,716.0,1.0,1.0,,1.0,1.0,0.0,1.0,4.0,1.0,0.0,0.0,apartamentos,2.0,936600.0,0.0,-7.1214602,-34.8379003,67.0,2550.0,92.0
0.0,48.0,0.0,1.0,,0.0,0.0,,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,apartamentos,1.0,145000.0,0.0,-7.1779086,-34.8707904,60.0,900.0,
1.0,68.0,1.0,2.0,,1.0,1.0,,1.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,apartamentos,1.0,689000.0,1.0,-7.078059998843,-34.831060001082,62.0,3500.0,
0.0,89.0,0.0,2.0,725.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,3.0,0.0,1.0,0.0,apartamentos,2.0,740000.0,0.0,-7.1336871,-34.8279943,98.0,5850.0,227.0
0.0,43.0,1.0,1.0,420.0,1.0,0.0,,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,apartamentos,1.0,320000.0,0.0,-7.1056049,-34.8330926,60.0,2800.0,
1.0,79.0,0.0,2.0,380.0,1.0,1.0,,1.0,1.0,1.0,1.0,3.0,1.0,0.0,0.0,apartamentos,2.0,615000.0,0.0,-7.080349,-34.8371771,62.0,3500.0,
0.0,177.0,0.0,4.0,,1.0,0.0,,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,apartamentos,,1600000.0,0.0,-7.1336871,-34.8279943,98.0,5850.0,227.0
0.0,131.0,0.0,4.0,584.0,0.0,0.0,,1.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0,apartamentos,3.0,895000.0,1.0,-7.11955,-34.836,67.0,2550.0,92.0
1.0,167.0,0.0,4.0,,0.0,1.0,,1.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,apartamentos,2.0,985000.0,0.0,-7.115359545562,-34.838004584124,80.0,2700.0,
0.0,270.0,0.0,2.0,1400.0,1.0,0.0,,1.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,apartamentos,2.0,750000.0,0.0,-7.1174018,-34.8416837,80.0,2700.0,
0.0,54.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,apartamentos,1.0,265000.0,1.0,-7.1336871,-34.8279943,98.0,5850.0,227.0
0.0,34.0,0.0,1.0,,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,apartamentos,1.0,199999.0,0.0,-7.0613976,-34.8456918,60.0,2400.0,65.0
0.0,53.0,0.0,1.0,60.0,0.0,0.0,,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,apartamentos,1.0,160000.0,0.0,-7.170515967475,-34.842565897268,53.0,1200.0,3201.0
0.0,226.0,0.0,5.0,880.0,0.0,0.0,,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,apartamentos,,1850000.0,0.0,-7.1214602,-34.8379003,67.0,2550.0,92.0
0.0,57.0,1.0,2.0,600.0,1.0,0.0,,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,apartamentos,1.0,350000.0,0.0,-7.1220693,-34.847951,67.0,2950.0,14.0
0.0,60.0,0.0,1.0,,0.0,0.0,,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,apartamentos,1.0,215000.0,0.0,-7.1341795,-34.8335964,98.0,5850.0,227.0
0.0,43.0,0.0,2.0,280.0,1.0,0.0,450.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,apartamentos,1.0,419570.0,0.0,-7.1318558,-34.8236608,56.0,3500.0,
0.0,400.0,0.0,5.0,,0.0,0.0,,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,casas,,750000.0,0.0,-7.0809021,-34.8425402,67.0,3000.0,13.0
0.0,70.0,0.0,2.0,80.0,0.0,0.0,,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,apartamentos,1.0,225000.0,0.0,-7.1592753,-34.8472982,,,44.0
1.0,102.0,0.0,4.0,,1.0,1.0,,0.0,1.0,0.0,1.0,3.0,1.0,0.0,0.0,apartamentos,3.0,750000.0,1.0,-7.102906565014,-34.83088986537,60.0,2800.0,
0.0,56.0,0.0,1.0,150000.0,1.0,1.0,,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,apartamentos,1.0,244060.0,0.0,-7.1551066,-34.8364492,63.0,1700.0,22.0
0.0,624.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,terrenos_lotes_e_condominios,,355000.0,0.0,-7.165336184899,-34.855068124185,,,184.0
0.0,71.0,0.0,1.0,,0.0,0.0,,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,apartamentos,,385560.0,0.0,-7.1214602,-34.8379003,67.0,2550.0,92.0
0.0,288.0,0.0,4.0,1200.0,0.0,0.0,,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,apartamentos,,1300000.0,0.0,-7.1353414,-34.8196967,56.0,3500.0,
1.0,53.0,1.0,2.0,,0.0,0.0,,1.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,apartamentos,1.0,380000.0,0.0,-7.1049787,-34.8344596,60.0,2800.0,
0.0,70.0,0.0,1.0,,0.0,0.0,,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,apartamentos,,125000.0,0.0,-7.16713985,-34.87342666322093,,,184.0
